Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,hourly,employer_provided,cleaned_salary,min_salary,max_salary,avg_salary,Founded_int,age
VIE AUSTRALIA - Data Scientist IA,$93K - $134K (Glassdoor Est.),"Organisation
Naval Group compte parmi les acteurs internationaux du naval de défense. Depuis plus de 400 ans, nous repoussons sans cesse les limites pour construire le naval de demain. Ouvriers, techniciens, ingénieurs, c'est avec passion que nos 17 000 collaborateurs, en France et à l'international, mettent en commun leurs savoir-faire uniques pour imaginer, concevoir, réaliser et entretenir des produits et des systèmes d'exception tels qu'un sous-marin, un porte-avions ou une frégate de combat.

Nous sommes convaincus que la diversité et l'inclusion sont synonymes de richesse et de performance. Nous souhaitons intégrer une véritable diversité de profils : femmes et hommes, avec une mixité sociale et une diversité de formations, de générations, d'origines, de compétences et de talents, mais aussi de parcours de vie.

Nos métiers évoluent, nos collaborateurs aussi. Nous nous engageons dans le développement professionnel de nos collaborateurs via la formation continue. Nos collaborateurs développent ainsi leur parcours professionnel selon leurs envies et en adéquation avec les besoins du groupe.",3.9,Naval Group,Adelaide,5001 to 10000 Employees,1631,Company - Private,Aerospace & Defence,Aerospace & Defence,$2 to $5 billion (USD),0,0,93-134,93,134,113.5,1631.0,389.0
Data Scientist,Employer Provided Salary:$85K - $150K,"About the Role
The Data Scientist works under the direction of an Analytics Chapter Lead and an agile Product Owner to define the business problem, develop hypotheses, undertake the relevant analytics, summarise the insights and make recommendations for action. Outcome measures include:
Availability of quality analytics and insights that enable business stakeholders to successfully manage their business and address key business priorities.
Make significant contributions to improving the way we work
Key Responsibilities
Deliver key analytics, self-service and agile projects. Work with stakeholders to define and agree the project scope, milestones and deliverables.",4.0,Telstra,Melbourne,10000+ Employees,1901,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD),0,0,85-150,85,150,117.5,1901.0,119.0
Data Scientist,Employer Provided Salary:$120K - $150K,"Overview
Our client is seeking experienced Data Scientist to assist with the delivery of various ICT Projects across the Division.
Essential criteria
· Data mining or extracting usable data from valuable data sources
· Using machine learning tools to select features, create and optimize classifiers
· Carrying out preprocessing of structured and unstructured data
· Enhancing data collection procedures to include all relevant information for developing analytic systems",-1.0,Interpro People,Sydney,-1,-1,-1,-1,-1,-1,0,0,120-150,120,150,135.0,1.0,-1.0
Data Scientist,$120K - $133K (Glassdoor Est.),"Sportsbet's purpose is to bring excitement to life for its customers and we do this by overdelivering on excitement through serious fun, disrupting the status quo and living our values. We’re a flexible, progressive, open-minded, and inclusive employer with over 7000 cool, clever and curious people around the world. We’re a global player, but in Melbourne, Sydney, Queensland and Darwin we’re tight knit,with 1000 of us bringing excitement to life every day.
The Team

In Data Science we work collaboratively with teams across the organisation to create and evolve end to end solutions that have Data Science at their core. From sports modelling to product personalisation, our team thrives on unleashing the power of data to improve the quality, speed and complexity of the decisions and actions they drive. Our models not only power many of the products our customers get to enjoy, but they also take many of our internal processes to the next level.We care for things we have built and look at ways to continuously improve them; but we also love to innovate. We are known pioneers and have introduced a number of world first ML-driven customer-facing products. They come from insights, experience but often, just from someone thinking outside of the box – we play a key role in exploring these ideas and making them a reality. Not only we innovate with product, but also in the way we build, develop, deploy and maintain our solutions and how we leverage evolving platforms partnerships.",3.5,Sportsbet,Melbourne,1001 to 5000 Employees,1993,Company - Private,Gambling & Betting,"Arts, Entertainment & Recreation",Unknown / Non-Applicable,0,0,120-133,120,133,126.5,1993.0,27.0
Senior Data Scientist,$127K - $170K (Glassdoor Est.),"Join our innovative and collaborative Digital Transformation and Data team. As a Senior Data Scientist you’ll influence and help Macquarie produce value with data within our Corporate Operations Group and beyond. You will apply your broad data expertise though a mix coaching others, providing strategic advice and performing hands-on analysis.
You will be responsible for:
Partnering with business leaders and coaching nascent data teams to uplift data capability
Identifying, determining feasibility and shaping data use cases
Determining appropriate analytical, statistical or machine learning approaches to create value
Performing analysis and creating prototypes",4.1,Macquarie Group,Sydney,10000+ Employees,1969,Company - Public,Investment & Asset Management,Finance,$5 to $10 billion (USD),0,0,127-170,127,170,148.5,1969.0,51.0
Data Scientist,Employer Provided Salary:$110K - $140K,"Job Description:
Complete application development by coordinating requirements and schedules across multiple environments
Develop and enhance software/application, by understanding business needs, studying systems flow, data usage, and work processes
Continue to Identify and provide recommendation around emerging solutions and recommending new systems for the business
Design, develop, test, implement and document systems and technology
Engage with business stakeholders to scope and design software in line with business requirements
Continually strive to improve systems, processes",-1.0,GoTech Solutions Pty Ltd,Sydney,Unknown,Company - Public,Unknown / Non-Applicable,-1,-1,-1,0,0,110-140,110,140,125.0,,
Data Scientist,$85K - $121K (Glassdoor Est.),"Novecom is seeking a person with a computer science or similar background, to develop analytic approaches for the processing of vision, sound and vibration data streams. This role would suit someone who enjoys using technology to organise, study and analyse large sets of data and solve problems.
Responsibilities
Developing and deploy models and/or adapt existing machine learning methods to meet project objectives
Building algorithms and design experiments to merge, manage, interrogate and extract data and gain insights
Using machine learning tools and statistical techniques to produce solutions to problems",-1.0,Novecom,Newcastle,1 to 50 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1,0,0,85-121,85,121,103.0,,
Data Scientist,$130K - $150K (Glassdoor Est.),"When you work at Allianz, you're part of a strong global insurer, helping to protect over 3 million Australians. We value diverse thinking, so your ideas and innovative mindset will be warmly welcomed. You'll experience a friendly environment working with talented people, where you'll be included and have your capabilities recognised. And you'll be supported to reach your full potential and enjoy an enriching career.

Data Scientist – Technical Division | NSW – Sydney

Opportunity to develop and embed AI across a variety of products
Work closely with senior data scientists & actuaries to uplift pricing capabilities
Allianz is a Flex Ready employer, flexible work options are available",4.0,Allianz Australia,Sydney,10000+ Employees,1890,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD),0,0,130-150,130,150,140.0,1890.0,130.0
Position – Data Scientist,$110K - $150K (Glassdoor Est.),"Location – Sydney and Digital / Remote
Experience – Minimum 8 years
We are looking for a candidate with good command over R / Python and in-depth knowledge and experience in Machine Learning, deep learning methods, algorithm design, analysis, development, and performance improvement. Strong understanding of statistical and predictive modeling concepts, machine-learning approaches, clustering, classification, regression techniques, recommendation (collaborative filtering) algorithms and Time series analysis.

We are eager to hear from you if you have one of the below mentioned skills. Send us your resume at careers@robonomics.ai",4.5,Robonomics AI,Sydney,1 to 50 Employees,2016,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,0,0,110-150,110,150,130.0,2016.0,4.0
Junior Data Analyst/Scientist,$55K - $120K (Glassdoor Est.),"The International Institute of Data & Analytics (IDA) is a not-for-profit hi-tech organization with foci on data science and big data analytics innovation, education and training, and commercialization and services. IDA offers unique experiences and engagement models for bridging the gaps between academia and business, enabling industry and government `easy to do business with’ leading scientists and specialists in data & analytics, and building a platform for engagements and collaborations between outstanding researchers, practitioners and educators.
In data science and big data analytics, the IDA creates enablers for:
Leading the field of data science and analytics innovation, training and services by building think-tank and thought leadership, and next-generation of data scientists and professionals;",3.1,International Institute of Data & Analytics,Sydney,201 to 500 Employees,2014,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,0,0,55-120,55,120,87.5,2014.0,6.0
Data Scientist - Procan Cancer Data Science (CDS),Employer Provided Salary:$100K - $110K,"Make an important contribution to the health of future generations through medical research
Work with a world-leading, independent medical research institute
Located in Westmead—Sydney’s and Australia’s foremost biomedical research precinct
Children’s Medical Research Institute (CMRI) was Australia’s first dedicated paediatric research facility and is now one of the world’s most highly regarded independent medical research organisations. Our research focuses on the four key areas impacting children’s health: cancer, genomics and genetic diseases, neurobiology, and embryology. Our strong international reputation is based on decades of significant research outcomes in these areas of specialty. CMRI is also home to the world-first proteomics project, ProCan, which is changing the way cancer is diagnosed and treated. CMRI’s research programs are supported by state of the art facilities and committed research and support staff. Our achievements are made possible by a loyal network of community supporters, highly engaged donors, and the very successful Jeans for Genes® and Great Cycle Challenge fundraising campaigns.",-1.0,Children's Medical Research Institute,Westmead,-1,-1,-1,-1,-1,-1,0,0,100-110,100,110,105.0,1.0,-1.0
Data Scientist,$170K - $175K (Glassdoor Est.),"Company Description

Interested in building and executing geospatial analytics on top of millions of square kilometres of aerial imagery working closely with key property insurance customers? Nearmap is recruiting for a mid-level Data Scientist to join the AI Output Systems team within the AI Systems group.

Company Description:
Nearmap is a Sydney-based global location intelligence company. We have tens of petabytes of high quality aerial imagery covering half a million square kilometres a year at 5-7cm resolution, and regularly captured imagery dating back to 2009. We produce automated 3D models of entire cities, and rich AI-driven vector maps, which turns our visual content into semantic information to power decisions in a wide range of organisations.

In the AI Output Systems team we design, build, and operate software systems that transform aerial imagery to insight. Our technology stack is based on the Python scientific libraries and traverses deep learning technology such as Tensorflow and Pytorch, cloud native technology such as Kubernetes, Kubeflow and Kafka, and computational geometry / GIS tools such as the Shapely and GeoPandas libraries.

Nearmap is a high-growth company, the ideal candidate will embrace an environment where things happen quickly and continuously. We aim for all employees to feel supported in their career development, with an abundance of opportunities for mentorship and cross-functional team projects.",3.8,Nearmap,Sydney,201 to 500 Employees,2007,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,0,0,170-175,170,175,172.5,2007.0,13.0
Junior Data Scientist,$186K - $195K (Glassdoor Est.),"Junior Data Scientist - Sydney Office - Permanent Full Time

A great opportunity for a Junior Data Scientist to work closely with the Domain Home Loans team to solve complex business problems and deliver real business impact through propensity modelling, marketing optimisation, segmentation, and advanced analytics.

Who are you?
The ideal candidate will have
Some relevant commercial work experience and knowledge of the following fields: Statistical Modelling, Machine Learning and Advanced Analytics.",4.4,Domain Group,Sydney,501 to 1000 Employees,1999,Company - Public,Real Estate,Real Estate,$100 to $500 million (USD),0,0,186-195,186,195,190.5,1999.0,21.0
Data Scientist,$124K - $171K (Glassdoor Est.),"Location: Sydney
This position requires a thorough understanding of knowledge, concepts and processes within its job area
The position works autonomously with minimal supervision

Two of Australia’s leading telecommunication companies, Vodafone Hutchison Australia and TPG, have come together to form TPG Telecom Limited. TPG Telecom has a powerhouse of brands which include Vodafone, TPG, iiNet, Internode, Lebara, AAPT and felix. As the second largest telecommunications company listed on the ASX, TPG Telecom has a strong challenger spirit and a commitment to delivering the best services and products to our customers. We are driving competition and choice for businesses and consumers across Australia.",3.6,TPG Telecom,North Sydney,501 to 1000 Employees,2020,Company - Public,"Cable, Internet & Telephone Providers",Telecommunications,$2 to $5 billion (USD),0,0,124-171,124,171,147.5,2020.0,0.0
Data Scientist,$93K - $128K (Glassdoor Est.),"Work type:
Full Time
Location:
Sydney
Job type:
Data & Analytics
Applications close:
Data Scientist",3.8,Virgin Australia,Sydney,5001 to 10000 Employees,2000,Company - Private,"Airlines, Airports & Air Transportation",Transportation & Logistics,Unknown / Non-Applicable,0,0,93-128,93,128,110.5,2000.0,20.0
Data Scientist - Centre for Big Data Research in Health,Employer Provided Salary:$100K - $109K,"Job no: 511205
Work type: full time
Location: Sydney, NSW
Categories: Analyst, Clinical/Medical Research
Data Scientist -Centre for Big Data Research in Health
Employment Type: Full Time 35 hours per week
Duration: Fixed Term Contract – 12 months
Remuneration: $100,331-$108,588 + 17% superannuation
Location: UNSW Kensington Campus (Hybrid Working Opportunities)
About UNSW:",4.2,University of New South Wales,Sydney,1001 to 5000 Employees,1949,College / University,Colleges & Universities,Education,Unknown / Non-Applicable,0,0,100-109,100,109,104.5,1949.0,71.0
