,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,VIE AUSTRALIA - Data Scientist IA,$93K - $134K (Glassdoor Est.),"Organisation
Naval Group compte parmi les acteurs internationaux du naval de défense. Depuis plus de 400 ans, nous repoussons sans cesse les limites pour construire le naval de demain. Ouvriers, techniciens, ingénieurs, c'est avec passion que nos 17 000 collaborateurs, en France et à l'international, mettent en commun leurs savoir-faire uniques pour imaginer, concevoir, réaliser et entretenir des produits et des systèmes d'exception tels qu'un sous-marin, un porte-avions ou une frégate de combat.

Nous sommes convaincus que la diversité et l'inclusion sont synonymes de richesse et de performance. Nous souhaitons intégrer une véritable diversité de profils : femmes et hommes, avec une mixité sociale et une diversité de formations, de générations, d'origines, de compétences et de talents, mais aussi de parcours de vie.

Nos métiers évoluent, nos collaborateurs aussi. Nous nous engageons dans le développement professionnel de nos collaborateurs via la formation continue. Nos collaborateurs développent ainsi leur parcours professionnel selon leurs envies et en adéquation avec les besoins du groupe.",3.9,"Naval Group
3.9",Adelaide,5001 to 10000 Employees,1631,Company - Private,Aerospace & Defence,Aerospace & Defence,$2 to $5 billion (USD)
1,Specialist Data Scientist,-1,"Specialist Data Scientist
Join us to help solve the biggest challenges facing our integrated Iron Ore value chain and apply your creativity to our huge mine datasets
Combine your hands-on coding skills in Python and/or R; develop your technical skills to help us build elegant solutions to business opportunities; and get close to the customers from start to finish.
About our Team
All progress begins with pioneers. At Rio Tinto, it begins with you.
Rio Tinto has a long history of being a leader in innovation and the development and deployment of technology within the mining industry. Innovation will continue to play a critical role in improving health and safety outcomes, delivering new mines of the future and decarbonising the industry.",3.7,"Rio Tinto
3.7",Perth,10000+ Employees,1873,Company - Public,Mining & Metals,"Energy, Mining, Utilities",$10+ billion (USD)
2,Data Scientist,Employer Provided Salary:$85K - $150K,"About the Role
The Data Scientist works under the direction of an Analytics Chapter Lead and an agile Product Owner to define the business problem, develop hypotheses, undertake the relevant analytics, summarise the insights and make recommendations for action. Outcome measures include:
Availability of quality analytics and insights that enable business stakeholders to successfully manage their business and address key business priorities.
Make significant contributions to improving the way we work
Key Responsibilities
Deliver key analytics, self-service and agile projects. Work with stakeholders to define and agree the project scope, milestones and deliverables.",4.0,"Telstra
4.0",Melbourne,10000+ Employees,1901,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD)
3,Data Scientist,Employer Provided Salary:$120K - $150K,"Overview
Our client is seeking experienced Data Scientist to assist with the delivery of various ICT Projects across the Division.
Essential criteria
· Data mining or extracting usable data from valuable data sources
· Using machine learning tools to select features, create and optimize classifiers
· Carrying out preprocessing of structured and unstructured data
· Enhancing data collection procedures to include all relevant information for developing analytic systems",-1,Interpro People,Sydney,-1,-1,-1,-1,-1,-1
4,Data Science Intern,-1,"YOUR OPPORTUNITY
Are you interested in Data Science, market research and improving the experience of customers and employees? If so, we have a great internship opportunity for you. As an intern you will be exposed to a wide range of projects ranging from predictive modeling, structured and unstructured driver analysis to insights reports. There’s also an opportunity to convert to a full time role if the internship is successful. You will be supporting the Data Science Lead with data processing, modeling. reporting and generating insights.

WHO WE ARE
At InMoment, we have a saying: #OwnTheMomentsThatMatter. And we live it! As a team, we recognize that every moment offers a new opportunity to make an impact and leave our mark. We take deliberate action to make the lives of our families, teammates, clients, and community better within every interaction.",3.6,"InMoment
3.6",Sydney,1001 to 5000 Employees,2002,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD)
5,Data Scientist,$120K - $133K (Glassdoor Est.),"Sportsbet's purpose is to bring excitement to life for its customers and we do this by overdelivering on excitement through serious fun, disrupting the status quo and living our values. We’re a flexible, progressive, open-minded, and inclusive employer with over 7000 cool, clever and curious people around the world. We’re a global player, but in Melbourne, Sydney, Queensland and Darwin we’re tight knit,with 1000 of us bringing excitement to life every day.
The Team

In Data Science we work collaboratively with teams across the organisation to create and evolve end to end solutions that have Data Science at their core. From sports modelling to product personalisation, our team thrives on unleashing the power of data to improve the quality, speed and complexity of the decisions and actions they drive. Our models not only power many of the products our customers get to enjoy, but they also take many of our internal processes to the next level.We care for things we have built and look at ways to continuously improve them; but we also love to innovate. We are known pioneers and have introduced a number of world first ML-driven customer-facing products. They come from insights, experience but often, just from someone thinking outside of the box – we play a key role in exploring these ideas and making them a reality. Not only we innovate with product, but also in the way we build, develop, deploy and maintain our solutions and how we leverage evolving platforms partnerships.",3.5,"Sportsbet
3.5",Melbourne,1001 to 5000 Employees,1993,Company - Private,Gambling & Betting,"Arts, Entertainment & Recreation",Unknown / Non-Applicable
6,Senior Data Scientist,$127K - $170K (Glassdoor Est.),"Join our innovative and collaborative Digital Transformation and Data team. As a Senior Data Scientist you’ll influence and help Macquarie produce value with data within our Corporate Operations Group and beyond. You will apply your broad data expertise though a mix coaching others, providing strategic advice and performing hands-on analysis.
You will be responsible for:
Partnering with business leaders and coaching nascent data teams to uplift data capability
Identifying, determining feasibility and shaping data use cases
Determining appropriate analytical, statistical or machine learning approaches to create value
Performing analysis and creating prototypes",4.1,"Macquarie Group
4.1",Sydney,10000+ Employees,1969,Company - Public,Investment & Asset Management,Finance,$5 to $10 billion (USD)
7,Data Scientist,-1,"Opportunity snapshot
Multiple opportunities have become available in our Customer Analytics team within the Customer and Strategy Office (CSO) at Bupa. As a Data Scientist, you will be based in Melbourne and/or work remotely and be responsible for creating and delivering data-driven value to the business units by utilising data to discover insights, predict customer behaviour, and visualise results and patterns.
You will be passionate about working with data and have a background in application of statistics & machine learning techniques on data with demonstrated strengths in storytelling and presenting insights to key stakeholders focussed on improving customer outcomes.
Your strengths in descriptive analysis, data visualisation, coupled with exceptional influencing skills and ‘can do’ attitude will help you thrive in the role. You will have the opportunity to gain a deeper industry knowledge, make your mark and be part of Bupa’s customer revolution journey to become the world’s most-customer centric healthcare company.
How will I help?

Full time",3.7,"Bupa
3.7",New South Wales,10000+ Employees,1947,Company - Private,Healthcare Services & Hospitals,Healthcare,$5 to $10 billion (USD)
8,Data Scientist,Employer Provided Salary:$110K - $140K,"Job Description:
Complete application development by coordinating requirements and schedules across multiple environments
Develop and enhance software/application, by understanding business needs, studying systems flow, data usage, and work processes
Continue to Identify and provide recommendation around emerging solutions and recommending new systems for the business
Design, develop, test, implement and document systems and technology
Engage with business stakeholders to scope and design software in line with business requirements
Continually strive to improve systems, processes",-1,GoTech Solutions Pty Ltd,Sydney,Unknown,Company - Public,Unknown / Non-Applicable,-1,-1,-1
9,Data Scientist,$85K - $121K (Glassdoor Est.),"Novecom is seeking a person with a computer science or similar background, to develop analytic approaches for the processing of vision, sound and vibration data streams. This role would suit someone who enjoys using technology to organise, study and analyse large sets of data and solve problems.
Responsibilities
Developing and deploy models and/or adapt existing machine learning methods to meet project objectives
Building algorithms and design experiments to merge, manage, interrogate and extract data and gain insights
Using machine learning tools and statistical techniques to produce solutions to problems",-1,Novecom,Newcastle,1 to 50 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1
